7.686,8.25
12.926000000000002,3.75
15.021999999999998,11.25
17.118,15.749999999999998
9.258,9.75
10.306000000000001,0.75
18.689999999999998,23.250000000000004
19.214,42.75
16.593999999999998,35.25
15.546,39.75
6.638,12.75
8.734,20.25
5.066000000000001,21.75
4.542,6.75
13.45,26.25
13.974,33.75
12.402000000000001,14.25
9.782,32.25
18.166,29.25
16.07,27.75
11.878,44.25
5.59,38.25
11.354,36.75
8.21,41.25
10.83,24.750000000000004
14.498000000000001,18.75
7.162,30.75
19.738,17.25
17.642,5.25
6.114,2.25
4.28,0.0
4.28,45.0
20.0,0.0
20.0,45.0
